episode,reward,length,reward_per_step
1,54.93000000000053,438,0.1254109589041108
2,88.40000000000136,692,0.12774566473988636
3,36.30000000000006,266,0.13646616541353407
4,47.200000000000344,360,0.13111111111111207
5,55.80000000000061,422,0.13222748815166022
6,34.49000000000007,276,0.1249637681159423
7,27.42999999999998,200,0.13714999999999988
8,27.239999999999977,190,0.14336842105263145
9,71.32000000000087,519,0.13741811175337354
10,75.58000000000108,572,0.132132867132869
11,34.99000000000005,266,0.13154135338345885
12,45.99000000000033,350,0.13140000000000093
13,46.070000000000405,382,0.12060209424083876
14,42.39000000000023,310,0.1367419354838717
15,9.099999999999994,75,0.12133333333333325
16,36.590000000000074,267,0.13704119850187294
17,11.109999999999994,86,0.12918604651162785
18,37.60000000000011,258,0.14573643410852755
19,53.610000000000426,392,0.13676020408163375
20,83.66000000000118,628,0.13321656050955602
21,23.37999999999998,173,0.13514450867052014
22,40.58000000000024,301,0.1348172757475091
23,75.36000000000107,575,0.13106086956521926
24,18.509999999999987,148,0.12506756756756748
25,56.12000000000062,448,0.12526785714285854
26,78.7800000000011,576,0.13677083333333523
27,12.52999999999999,103,0.12165048543689311
28,14.989999999999986,118,0.12703389830508463
29,53.970000000000546,416,0.12973557692307824
30,40.45000000000016,302,0.13394039735099392
31,48.570000000000334,354,0.13720338983050942
32,29.609999999999975,204,0.1451470588235293
33,34.14000000000005,261,0.1308045977011496
34,87.02000000000119,656,0.13265243902439205
35,49.900000000000475,411,0.12141119221411308
36,33.28000000000002,265,0.12558490566037744
37,78.80000000000115,612,0.1287581699346424
38,63.710000000000676,484,0.13163223140496008
39,23.81999999999998,170,0.1401176470588234
40,116.65000000000192,872,0.13377293577981872
41,54.600000000000534,440,0.1240909090909103
42,71.00000000000098,548,0.12956204379562222
43,81.34000000000115,618,0.13161812297734815
44,56.960000000000626,446,0.12771300448430634
45,67.22000000000087,524,0.12828244274809325
46,29.08999999999998,214,0.13593457943925225
47,85.26000000000133,666,0.12801801801802
48,51.58000000000046,404,0.1276732673267338
49,46.680000000000305,370,0.126162162162163
50,57.19000000000058,416,0.13747596153846292
